Transaction ID,Total Spent,Location,Transaction Date,Province,Item,Location_missing_flag,Province_missing_flag
TXN_9687814,7.0,In-store,2023-09-28,British Columbia,Coffee,0,0
TXN_7002925,10.0,Takeaway,2023-05-02,Newfoundland and Labrador,Refresher,1,0
TXN_7668262,2.0,In-store,2023-11-27,British Columbia,Donut,0,0
TXN_9390285,3.5,Takeaway,2023-05-11,Newfoundland and Labrador,Coffee,0,0
TXN_7321503,3.0,Takeaway,2023-09-15,British Columbia,Tea,0,0
TXN_7075658,14.0,In-store,2023-10-21,Manitoba,Coffee,0,0
TXN_3811286,45.0,Takeaway,2023-10-04,Manitoba,Salad,0,0
TXN_3573981,36.0,In-store,2023-11-10,Newfoundland and Labrador,Salad,0,0
TXN_5358404,40.0,In-store,2023-08-24,British Columbia,Sandwich,0,0
TXN_6486109,10.5,In-store,2023-02-28,British Columbia,Coffee,0,0
TXN_9297177,7.0,In-store,2023-07-07,Newfoundland and Labrador,Coffee,0,0
TXN_7630300,2.5,In-store,2023-07-09,British Columbia,Cookie,0,0
TXN_4023020,12.0,Takeaway,2023-02-20,British Columbia,Tea,0,0
TXN_2950053,7.5,Takeaway,2023-09-01,Saskatchewan,Cookie,0,0
TXN_7999686,3.0,In-store,2023-05-15,British Columbia,Tea,0,0
TXN_6567119,4.0,In-store,2023-06-16,Manitoba,Donut,0,0
TXN_7290247,3.5,In-store,2023-08-30,Newfoundland and Labrador,Coffee,0,0
TXN_8998040,8.0,Takeaway,2023-12-12,Manitoba,Donut,0,0
TXN_3380759,6.0,In-store,2023-12-06,Manitoba,Tea,0,0
TXN_9258216,4.5,In-store,2023-09-21,British Columbia,Juice,0,0
TXN_7971324,15.0,In-store,2023-01-02,Saskatchewan,Tea,0,0
TXN_8454386,7.0,Takeaway,2023-02-23,British Columbia,Coffee,0,0
TXN_3931766,18.0,In-store,2023-11-06,British Columbia,Salad,0,0
TXN_9245780,7.0,Takeaway,2023-09-27,Newfoundland and Labrador,Coffee,0,0
TXN_7394986,3.0,Takeaway,2023-09-28,Manitoba,Tea,0,0
TXN_8428537,5.0,Takeaway,2023-08-03,Manitoba,Refresher,0,0
TXN_2204968,5.0,Takeaway,2023-07-27,Manitoba,Cookie,0,0
TXN_9005253,4.0,Takeaway,2023-02-22,British Columbia,Donut,0,0
TXN_9500426,3.5,In-store,2023-02-10,British Columbia,Coffee,0,0
TXN_5218291,18.0,Takeaway,2023-10-28,Newfoundland and Labrador,Salad,0,0
TXN_9232871,3.5,Takeaway,2023-11-23,Manitoba,Coffee,0,0
TXN_5137655,14.0,Takeaway,2023-05-09,Manitoba,Coffee,1,0
TXN_8266509,3.5,In-store,2023-03-22,British Columbia,Coffee,0,0
TXN_6678690,3.5,In-store,2023-10-16,British Columbia,Coffee,0,0
TXN_6235589,5.0,In-store,2023-11-24,British Columbia,Refresher,0,0
TXN_6264127,2.0,In-store,2023-02-02,Saskatchewan,Donut,0,1
TXN_3174000,8.0,In-store,2023-03-03,Manitoba,Sandwich,0,0
TXN_9358048,5.0,Takeaway,2023-08-15,Manitoba,Refresher,0,0
TXN_3151562,9.0,In-store,2023-08-06,British Columbia,Tea,0,0
TXN_3590618,3.5,Takeaway,2023-12-25,Newfoundland and Labrador,Coffee,0,0
TXN_8193261,5.0,Takeaway,2023-07-26,Manitoba,Cookie,0,0
TXN_2289497,32.0,In-store,2023-06-28,Newfoundland and Labrador,Sandwich,0,0
TXN_1248168,2.0,In-store,2023-04-06,British Columbia,Donut,0,0
TXN_8963295,10.5,In-store,2023-06-20,British Columbia,Coffee,0,0
TXN_5751734,3.0,Takeaway,2023-01-13,Saskatchewan,Tea,0,0
TXN_4132394,3.0,Takeaway,2023-07-06,British Columbia,Tea,0,0
TXN_4982991,7.0,Takeaway,2023-02-14,British Columbia,Coffee,0,0
TXN_1837374,3.5,Takeaway,2023-04-18,British Columbia,Coffee,0,0
TXN_4663825,14.0,In-store,2023-12-14,British Columbia,Coffee,0,0
TXN_9671923,2.0,In-store,2023-07-09,Manitoba,Donut,1,0
TXN_6345379,6.0,In-store,2023-10-10,Saskatchewan,Tea,0,0
TXN_8586689,10.0,In-store,2023-04-26,British Columbia,Refresher,0,0
TXN_4743432,5.0,In-store,2023-09-16,British Columbia,Refresher,0,0
TXN_9299675,24.0,Takeaway,2023-05-17,Newfoundland and Labrador,Sandwich,1,0
TXN_4754173,10.0,In-store,2023-08-13,British Columbia,Refresher,0,0
TXN_6626622,10.0,In-store,2023-06-21,Saskatchewan,Refresher,0,0
TXN_8994578,9.0,Takeaway,2023-04-06,Newfoundland and Labrador,Tea,0,0
TXN_2573241,8.0,Takeaway,2023-06-29,British Columbia,Sandwich,0,0
TXN_2616859,10.0,In-store,2023-02-21,British Columbia,Refresher,0,0
TXN_5160311,8.0,Takeaway,2023-04-23,Newfoundland and Labrador,Sandwich,0,0
TXN_5971356,8.0,Takeaway,2023-01-02,British Columbia,Sandwich,0,0
TXN_7197961,14.0,Takeaway,2023-02-23,Manitoba,Coffee,0,0
TXN_6076612,6.0,In-store,2023-05-06,British Columbia,Tea,0,0
TXN_8840502,3.0,Takeaway,2023-06-21,Newfoundland and Labrador,Tea,0,0
TXN_9895486,3.0,Takeaway,2023-07-17,British Columbia,Tea,0,0
TXN_3493044,3.5,In-store,2023-11-20,Manitoba,Coffee,0,0
TXN_5866528,5.0,Takeaway,2023-07-03,Manitoba,Refresher,0,0
TXN_8233147,3.5,Takeaway,2023-11-21,Manitoba,Coffee,0,0
TXN_6185896,3.5,Takeaway,2023-07-17,Manitoba,Coffee,0,0
TXN_4204740,3.5,In-store,2023-07-20,Newfoundland and Labrador,Coffee,1,1
TXN_1839747,4.0,Takeaway,2023-11-22,Newfoundland and Labrador,Donut,1,0
TXN_1942500,20.0,In-store,2023-12-12,Manitoba,Refresher,0,1
TXN_9634493,3.5,In-store,2023-07-18,Saskatchewan,Coffee,0,0
TXN_2776963,10.5,In-store,2023-05-08,British Columbia,Coffee,0,0
TXN_7900440,3.0,Takeaway,2023-12-26,Manitoba,Tea,0,0
TXN_3765855,24.0,In-store,2023-05-31,British Columbia,Sandwich,0,0
TXN_8492365,3.0,In-store,2023-10-25,Saskatchewan,Tea,0,0
TXN_3396634,9.0,In-store,2023-09-09,British Columbia,Tea,0,0
TXN_6901502,9.0,In-store,2023-03-01,Saskatchewan,Tea,0,0
TXN_9358343,10.5,In-store,2023-01-09,British Columbia,Coffee,0,0
TXN_2665309,13.5,In-store,2023-04-26,Newfoundland and Labrador,Juice,0,0
TXN_9962527,7.0,In-store,2023-04-14,Manitoba,Coffee,0,0
TXN_5219124,3.0,Takeaway,2023-08-15,Newfoundland and Labrador,Tea,1,0
TXN_2621276,5.0,In-store,2023-12-04,Saskatchewan,Cookie,0,0
TXN_1187862,9.0,Takeaway,2023-06-12,Newfoundland and Labrador,Juice,0,0
TXN_7102605,3.5,In-store,2023-06-18,Saskatchewan,Coffee,0,0
TXN_2369289,10.0,In-store,2023-03-09,Saskatchewan,Refresher,0,0
TXN_8401414,5.0,In-store,2023-10-04,British Columbia,Cookie,0,0
TXN_4388592,3.5,Takeaway,2023-05-15,Manitoba,Coffee,0,0
TXN_4252727,4.0,Takeaway,2023-05-08,British Columbia,Donut,0,0
TXN_7972505,7.0,In-store,2023-01-22,British Columbia,Coffee,0,0
TXN_7236579,3.5,In-store,2023-10-10,Saskatchewan,Coffee,0,0
TXN_6636734,6.0,In-store,2023-10-04,British Columbia,Tea,0,0
TXN_9096026,32.0,Takeaway,2023-10-11,Manitoba,Sandwich,0,0
