Date,Province,Item,total_spent,transaction_count,avg_transaction_value,location_missing_count,province_missing_count,had_transaction,day_of_week,day_of_month,day_of_year,is_weekend,quarter,month,total_spent_lag_1,total_spent_lag_7,total_spent_lag_1_missing_flag,total_spent_lag_7_missing_flag,total_spent_shifted,total_spent_ma_3,total_spent_ma_7,total_spent_ma_3_missing_flag,total_spent_ma_7_missing_flag
2023-01-01,British Columbia,Coffee,10.5,2,5.25,0,0,1,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,British Columbia,Cookie,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,British Columbia,Donut,10.0,1,10.0,0,0,1,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,British Columbia,Juice,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,British Columbia,Refresher,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,British Columbia,Salad,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,British Columbia,Sandwich,16.0,1,16.0,1,0,1,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,British Columbia,Tea,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Manitoba,Coffee,3.5,1,3.5,0,0,1,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Manitoba,Cookie,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Manitoba,Donut,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Manitoba,Juice,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Manitoba,Refresher,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Manitoba,Salad,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Manitoba,Sandwich,24.0,2,12.0,0,0,1,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Manitoba,Tea,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Newfoundland and Labrador,Coffee,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Newfoundland and Labrador,Cookie,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Newfoundland and Labrador,Donut,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Newfoundland and Labrador,Juice,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Newfoundland and Labrador,Refresher,10.0,1,10.0,0,0,1,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Newfoundland and Labrador,Salad,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
2023-01-01,Newfoundland and Labrador,Sandwich,0.0,0,0.0,0,0,0,6,1,1,1,1,1,0.0,0.0,1,1,,0.0,0.0,1,1
