Transaction Date,Total Spent,Location,Province,Item
2022-01-26,14.08,In-store,British Columbia,Coffee
2022-01-20,6.9,In-store,Newfoundland and Labrador,Coffee
2022-01-24,6.82,Takeaway,Newfoundland and Labrador,Coffee
2022-01-12,7.12,In-store,Manitoba,Coffee
2022-01-31,3.52,In-store,British Columbia,Coffee
2022-01-28,3.67,Takeaway,Saskatchewan,Coffee
2022-01-25,7.06,In-store,Newfoundland and Labrador,Coffee
2022-01-06,3.53,In-store,Newfoundland and Labrador,Coffee
2022-01-15,7.18,Takeaway,British Columbia,Coffee
2022-01-03,3.49,Takeaway,Manitoba,Coffee
2022-01-05,7.11,Takeaway,Saskatchewan,Coffee
2022-01-21,3.54,In-store,Newfoundland and Labrador,Coffee
2022-01-24,10.76,Takeaway,Newfoundland and Labrador,Coffee
2022-01-31,3.46,Takeaway,British Columbia,Coffee
2022-01-11,13.88,Takeaway,British Columbia,Coffee
2022-01-12,3.47,Takeaway,British Columbia,Coffee
2022-01-15,7.05,In-store,Manitoba,Coffee
2022-01-06,14.22,Takeaway,British Columbia,Coffee
2022-01-05,3.6,Takeaway,Manitoba,Coffee
2022-01-16,7.07,In-store,Newfoundland and Labrador,Coffee
2022-01-07,6.94,In-store,Newfoundland and Labrador,Coffee
2022-01-21,10.41,Takeaway,British Columbia,Coffee
2022-01-14,3.52,In-store,British Columbia,Coffee
2022-01-26,10.45,In-store,Manitoba,Coffee
2022-01-22,6.81,Takeaway,Newfoundland and Labrador,Coffee
2022-01-11,10.7,In-store,Newfoundland and Labrador,Coffee
2022-01-26,3.34,In-store,Newfoundland and Labrador,Coffee
2022-01-25,6.88,In-store,British Columbia,Coffee
2022-01-13,10.34,In-store,British Columbia,Coffee
2022-01-10,10.01,In-store,British Columbia,Coffee
2022-01-21,6.87,Takeaway,Saskatchewan,Coffee
2022-01-05,10.31,In-store,British Columbia,Coffee
2022-01-07,6.97,In-store,Saskatchewan,Coffee
2022-01-01,3.57,In-store,Manitoba,Coffee
2022-01-25,3.58,Takeaway,British Columbia,Coffee
2022-01-21,3.48,Takeaway,Newfoundland and Labrador,Coffee
2022-01-22,3.48,Takeaway,British Columbia,Coffee
2022-01-25,17.14,Takeaway,British Columbia,Coffee
2022-01-14,3.5,Takeaway,British Columbia,Coffee
2022-01-18,3.57,Takeaway,Saskatchewan,Coffee
2022-01-05,3.43,Takeaway,Newfoundland and Labrador,Coffee
2022-01-04,6.87,In-store,Newfoundland and Labrador,Coffee
2022-01-21,3.54,Takeaway,Saskatchewan,Coffee
2022-01-15,3.56,In-store,British Columbia,Coffee
2022-01-18,17.42,Takeaway,British Columbia,Coffee
2022-01-24,7.09,In-store,British Columbia,Coffee
2022-01-20,10.5,In-store,British Columbia,Coffee
